       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           100            255            100             50             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.000          0.000          0.000        250.000          1.000
            max          0.300          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              4         0.6002         0.4791         0.1091         0.7619       255.0000         8.0000       382.5625       261.6042
              5         0.6050         0.3225         0.1459         0.8000       255.0000         2.0000       636.5000       369.5000
              6         0.6425         0.4149         0.0551         0.7500       255.0000         7.5000       518.2889       271.9556
              7         0.6735         0.2317         0.0110         0.8889       255.0000         8.0000       274.4792       180.4375
              0         0.5037         0.5390         0.1833         1.0000       255.0000         2.0000       536.5000       255.5833
              1         0.5473         0.2695         0.3333         0.6667       255.0000         1.0000       539.3333       276.0000
              2         0.5566         0.3225         0.3333         0.6667       254.0000         2.0000       253.6667       104.6667
              3         0.5777         0.4716         0.1504         0.7778       255.0000         7.0000       382.3095       261.4048
              4         0.5955         0.3545         0.1392         0.8333       255.0000         2.5000       532.7333       301.4667
              5         0.6050         0.3225         0.1459         0.8000       255.0000         2.0000       636.5000       369.5000
              6         0.6250         0.4043         0.0939         0.7500       255.0000         6.0000       612.8889       211.4444
              7         0.6407         0.2827         0.0123         1.0000       255.0000         9.0000       274.5000       180.5000
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       541.5000       284.5000
              1         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       277.5000       208.5000
              2         0.3575         0.1612         1.0000         0.3333       252.0000         1.0000       256.5000       174.5000
              3         0.3746         0.8085         0.3333         1.0000       255.0000         3.0000       256.0000       193.0000
              4         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              5         0.5037         0.5390         0.1833         1.0000       255.0000         2.0000       536.5000       255.5833
              6         0.5252         0.5256         0.2276         0.7917       255.0000         9.5000       382.7193       261.4737
              7         0.5302         0.5890         0.1111         1.0000       255.0000         3.0000       500.5000       159.5000
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       541.5000       284.5000
              1         0.3746         0.8085         0.3333         1.0000       255.0000         3.0000       256.0000       193.0000
              2         0.4273         0.6430         0.2937         1.0000       255.0000         1.5000       635.4444       222.2222
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       359.0000       308.3333
              4         0.5037         0.5390         0.1833         1.0000       255.0000         2.0000       536.5000       255.5833
              5         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       277.5000       208.0000
              6         0.5454         0.0767         0.5651         0.2778       255.0000         2.5000       253.6000       104.4667
              7         0.5775         0.3818         0.2109         0.7143       255.0000         5.0000       539.8000       275.5333
              0         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              1         0.4385         0.6981         0.2500         1.0000       255.0000         2.0000       542.0000       284.5000
              2         0.4652         0.6474         0.2170         1.0000       255.0000         3.5000       256.1905       192.9048
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5955         0.3545         0.1392         0.8333       255.0000         2.5000       532.7333       301.4667
              6         0.6142         0.4192         0.1331         0.6897       255.0000        10.0000       382.5500       261.3833
              7         0.6541         0.3665         0.0422         0.7727       255.0000         8.5000       518.4510       272.3137
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       541.5000       284.5000
              1         0.2981         0.1612         1.0000         0.3333       255.0000         1.0000       256.5000       174.5000
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.4867         0.6430         0.2937         1.0000       252.0000         1.5000       277.4444       208.2222
              4         0.5037         0.5390         0.1833         1.0000       255.0000         2.0000       536.5000       255.5833
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              6         0.5421         0.5717         0.1754         0.7931       255.0000        11.5000       382.7246       261.3623
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       359.6667       308.3333
              3         0.4385         0.6981         0.2500         1.0000       255.0000         2.0000       542.0000       284.5000
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       232.2222       285.2222
              6         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              7         0.5912         0.2143         0.3333         0.5000       255.0000         1.0000       254.3333       213.0000
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              5         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              6         0.5362         0.3429         0.2937         0.7500       255.0000         1.5000       231.7778       285.4444
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       285.5000
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       359.5000       308.5000
              7         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       271.5000
              1         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              2         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              4         0.4675         0.5390         0.3333         1.0000       253.0000         1.0000       211.0000       107.3333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              6         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              7         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              5         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              6         0.6009         0.2831         0.2441         0.6098       255.0000        12.5000       382.7467       261.2267
              7         0.6107         0.3841         0.0322         1.0000       255.0000         5.5000       257.4848       167.2424
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
